Name,Age_final,Month_BirthDay,Quarter_REA,Half_REA,Cadet_Win,Cadet_Success,Cadet_Part,Junior_Win,Junior_Success,Junior_Part,Senior_Win_CC,Senior_Success_CC,Senior_Part_CC,Senior_Win_WC,Senior_Success_WC,Senior_Part_WC,target_rank,target_group,target_medalist
"Khullar, Akash",26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2.0,1
"Khutsishvili, David",27,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0,2.0,1
"Kim, Gwan-Uk",27,7,3,1,0,0,0,0,0,4,0,1,3,0,0,1,11.0,2.0,1
"Kim, Han-Song",21,6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,19.0,2.0,1
"Kim, Jae-Gang",30,8,3,1,0,0,0,0,0,2,1,3,5,0,0,4,8.0,1.0,1
"Kim, Kuk-Gwang",24,9,3,1,0,0,0,0,1,1,0,0,1,0,0,1,14.0,2.0,1
"Kim, Sung-Gwon",27,3,1,0,0,0,0,1,2,3,0,0,3,0,0,3,9.0,1.0,1
"Kirov, Miroslav Stefanov",26,5,2,0,0,0,2,0,1,3,0,1,3,0,0,3,13.0,2.0,1
"Kurtev, Nikolay",32,8,3,1,0,0,0,0,0,2,0,1,2,0,0,1,21.0,2.0,1
"Kvelashvili, Jumber",25,4,2,0,0,0,0,0,2,2,0,1,1,0,0,2,28.0,2.0,1
"Lachinau, Asadulla",31,4,2,0,0,0,0,0,0,0,0,0,1,0,0,2,14.0,2.0,1
"Lazarev, Aiaal",31,3,1,0,0,0,0,0,0,0,1,4,10,0,0,5,8.0,1.0,1
"Lee, Gun-Woo",24,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2.0,1
"Lee, Seung-Chul",29,7,3,1,0,2,2,0,1,3,0,2,5,0,0,4,22.0,2.0,1
"Lee, Yun-Seok",28,12,4,1,0,1,1,0,1,2,0,2,2,0,0,4,13.0,2.0,1
"Ligeti, Daniel",28,7,3,1,0,0,1,0,1,6,0,3,9,0,0,5,19.0,2.0,1
"Liu, Minghu",19,7,3,1,0,0,0,0,0,2,0,0,0,0,0,1,25.0,2.0,1
"Lomtadze, Beka",26,11,4,1,0,0,0,0,0,0,0,1,2,0,1,3,17.0,2.0,1
"Lopez Azcuy, Livan",35,1,1,0,0,0,0,0,0,0,3,5,5,0,3,4,7.0,1.0,1
"Lukacs, Norbert",25,12,4,1,0,0,1,0,0,0,0,0,4,0,0,1,27.0,2.0,1
"Luyeye, Loma",30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,2.0,1
"Makoev, Boris",24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
"Malencov, Dmitri",31,9,3,1,0,0,0,0,0,0,0,0,1,0,0,0,20.0,2.0,1
"Matsusaka, Masao",23,7,3,1,0,0,0,0,0,1,0,0,1,0,0,0,16.0,2.0,1
"Metreveli Vartanov, Levan",33,12,4,1,0,0,0,0,0,1,0,0,3,0,0,2,27.0,2.0,1
"Mikhailov, Vasil",22,6,2,0,1,2,2,0,1,2,0,0,0,0,0,0,12.0,2.0,1
"Modzmanashvili, David",31,11,4,1,0,0,1,0,1,1,0,1,4,0,1,2,17.0,2.0,1
"Mohammadi, Amir",27,6,2,0,0,0,0,0,1,1,0,0,0,0,0,0,12.0,2.0,1
"Mohebbi, Yadollah Mohammadkazem",27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,1
"Moise, Adrian Ionut",27,11,4,1,0,0,2,0,1,5,0,0,4,0,0,1,9.0,1.0,1
"Molnar, Jozsef",25,4,2,0,0,0,2,0,0,6,0,0,5,0,0,3,31.0,2.0,1
"Mukhtarov, Ilman",21,5,2,0,0,1,2,0,0,5,0,0,0,0,0,0,24.0,2.0,1
"Musaev, Magomed",28,3,1,0,0,0,0,0,0,0,1,5,5,0,0,2,24.0,2.0,1
"Mustafaev, Agahueseyin",28,4,2,0,0,0,0,0,2,3,0,0,1,0,0,1,9.0,1.0,1
"Nakamura, Rinya",22,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.0,1.0,1
"Nam, Kyong-Jin",29,8,3,1,0,1,1,0,0,1,0,3,6,0,0,1,11.0,2.0,1
"Narmandakh, Lkhamgarmaa",27,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2.0,1
"Nasiri, Meysam Abolfazl",28,6,2,0,0,0,0,0,0,0,1,1,1,0,0,0,10.0,1.0,1
"Natsagsuren, Zolboo",27,12,4,1,0,0,0,0,0,0,0,2,3,0,0,1,5.0,1.0,1
"Nedealco, Evgheni",27,1,1,0,0,0,0,0,0,4,0,0,3,0,0,2,15.0,2.0,1
"Neyland, Liam Brice",21,10,4,1,0,0,0,2,2,4,0,2,2,0,0,0,31.0,2.0,1
"Nicolescu, Cristian Etpison",23,6,2,0,0,0,0,1,2,2,2,4,4,0,0,1,27.0,2.0,1
"Niyazbekov, Daulet",28,2,1,0,0,0,0,0,1,1,2,4,7,0,1,4,7.0,1.0,1
"Nurikau, Azamat",27,3,1,0,0,0,0,0,0,0,0,1,3,0,0,3,5.0,1.0,1
"Nurov, Magomedgadzhi Omardibirovich",24,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,10.0,1.0,1
"Odikadze, Elizbar",28,6,2,0,0,0,0,0,0,1,0,2,3,0,0,2,5.0,1.0,1
"Oganesyan, Gor",23,8,3,1,1,1,1,0,0,1,0,0,0,0,0,0,12.0,2.0,1
"Ogbonna, John Emmanuel",20,12,4,1,0,1,1,0,0,0,0,0,0,0,0,0,21.0,2.0,1
"Olejnyik, Pavlo",28,2,1,0,0,1,1,0,1,5,1,2,4,0,2,2,11.0,2.0,1
"Omarov, Gadjimurad",23,8,3,1,0,1,1,0,2,3,0,0,0,0,0,0,22.0,2.0,1
"Orgodol, Uitumen",28,4,2,0,0,0,0,0,0,0,0,2,3,0,0,3,21.0,2.0,1
"Osmonov, Alibek",21,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2.0,1
"Ouribi, Rachid",32,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,34.0,2.0,1
"Palani, Aso",30,3,1,0,0,0,0,0,0,1,0,2,3,0,0,1,22.0,2.0,1
"Perez Sosa, Luis Miguel",29,11,4,1,0,0,0,0,0,0,0,0,3,0,0,1,20.0,2.0,1
"Perpelita, Andrei",32,4,2,0,0,0,1,0,1,4,0,2,7,0,0,7,20.0,2.0,1
"Petriashvili, Geno",23,4,2,0,1,2,2,3,5,6,1,3,3,0,2,2,1.0,0.0,0
"Popov, Marc",24,9,3,1,0,0,1,0,0,3,0,0,1,0,0,2,25.0,2.0,1
"Punia, Bajrang",23,2,1,0,2,2,2,0,1,3,0,3,4,0,0,2,13.0,2.0,1
"Rachamin, Hanoch",24,4,2,0,0,0,2,0,0,5,0,0,2,0,0,1,10.0,1.0,1
"Radchenko, David",24,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,28.0,2.0,1
"Radulov, Semyon",28,8,3,1,0,0,0,0,0,0,0,1,2,0,0,3,12.0,2.0,1
"Rama Escribano, Daniel",24,12,4,1,0,0,1,0,0,0,0,0,0,0,0,0,26.0,2.0,1
"Ramirez Beltre, Juan Rubelin",27,8,3,1,0,0,0,0,0,0,1,2,4,0,0,0,28.0,2.0,1
"Rana, Parveen",25,11,4,1,1,1,2,0,1,3,0,1,6,0,0,0,16.0,2.0,1
"Rashidov, Gadshimurad",22,10,4,1,2,2,2,0,2,2,1,1,1,0,0,0,2.0,0.0,0
"Retherford, Zain Allen",22,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,11.0,2.0,1
"Romanov, Andrei",28,2,1,0,0,0,0,0,1,5,0,0,2,0,0,2,22.0,2.0,1
"Rudesindo Camacho, Alvaro",20,2,1,0,0,1,1,0,1,2,0,0,0,0,0,0,19.0,2.0,1
"Sadulaev, Abdulrashid",21,5,2,0,2,2,2,0,0,0,2,2,2,2,2,2,2.0,0.0,0
"Safarov, Nodiryon",26,7,3,1,2,2,2,0,1,4,0,0,3,0,0,1,8.0,1.0,1
"Sagaliuk, Lyubomir",29,9,3,1,0,0,0,0,0,1,0,0,1,0,0,0,15.0,2.0,1
"Salas Perez, Reineris",30,3,1,0,0,0,0,1,3,3,5,6,6,0,3,5,15.0,2.0,1
"Sanayev, Nurislam",26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,2.0,1
"Sava, Mihail",26,9,3,1,0,0,0,0,0,1,0,0,2,0,1,4,25.0,2.0,1
"Sejfulau, Elmedin",19,1,1,0,0,2,4,0,0,4,0,0,0,0,0,0,26.0,2.0,1
"Semisorow, Alexander",24,2,1,0,0,1,2,0,0,4,0,0,1,0,0,0,23.0,2.0,1
"Shabanbay, Daulet",34,8,3,1,0,0,0,0,0,1,0,6,6,0,0,4,14.0,2.0,1
